id,date,message,sender_id
15318,2025-01-15T12:00:45+00:00,,-1001424695758
15317,2025-01-15T12:00:45+00:00,,-1001424695758
15316,2025-01-15T12:00:45+00:00,,-1001424695758
15315,2025-01-15T12:00:45+00:00,Volkswagen design የልጆችን ቀልብ የሚገዛ ውብ ፖፖ እጀታው መብራት ያለው 0909003864 0905707448 3200 ብር 0909003864 0905707448 ሊንኩን በመጫን ቴሌግራማችንን ይቀላቀሉhttps://t.me/sinayelj እቃ ለማዘዝ ከስር ያለውን ሊንኮች በመጫን ማዘዝ ትችላላቹ @sinasinaye https://t.me/sinayelj2 አድራሻ 1️⃣ቁጥር1 ገርጂ ኢምፔሪያል ከሳሚ ህንፃ ጎን አልፎዝ ፕላዛ ግራውንድ ላይ እንደገቡ ያገኙናል 2️⃣ቁጥር2 4ኪሎ ቅድስት ስላሴ ህንፃ ማለትም ከብልፅግና ዋናፅፈት ቤት ህንፃ በስተ ቀኝ ባለው አስፓልት 20ሜትር ዝቅ እንዳሉ ሀበሻ ኮፊ የሚገኝበት ቀይ ሸክላ ህንፃ 2ተኛ ፎቅ ላይ ያገኙናል ክቡራን ደምበኞቻችን ገርጂ አልፎዝ ፕላዛ ላይ አራት ኪሎ ቅድስት ስላሴ ያሉት ሱቆቻችን ሲመጡ አስተማማኝ ሰፊ ፓርኪንግ ያላቸው መሆናቸውን በታላቅ ደስታ እናበስራለን🙏🙏🙏,-1001424695758
15314,2025-01-13T09:16:50+00:00,,-1001424695758
15313,2025-01-13T09:16:50+00:00,,-1001424695758
15312,2025-01-13T09:16:50+00:00,Standing mosquito net ለመኝታ ቤት ውበትን አላብሶ የተለያዩ ተባዮችን የሚከላከል ውብ አጎበር ለ 1.80 አልጋ ሳይዝ 6500ብር Free delivery 0909003864 0905707448 ሊንኩን በመጫን ቴሌግራማችንን ይቀላቀሉhttps://t.me/sinayelj እቃ ለማዘዝ ከስር ያለውን ሊንኮች በመጫን ማዘዝ ትችላላቹ @sinasinaye https://t.me/sinayelj2 አድራሻ 1️⃣ቁጥር1 ገርጂ ኢምፔሪያል ከሳሚ ህንፃ ጎን አልፎዝ ፕላዛ ግራውንድ ላይ እንደገቡ ያገኙናል 2️⃣ቁጥር2 4ኪሎ ቅድስት ስላሴ ህንፃ ማለትም ከብልፅግና ዋናፅፈት ቤት ህንፃ በስተ ቀኝ ባለው አስፓልት 20ሜትር ዝቅ እንዳሉ ሀበሻ ኮፊ የሚገኝበት ቀይ ሸክላ ህንፃ 2ተኛ ፎቅ ላይ ያገኙናል ክቡራን ደምበኞቻችን ገርጂ አልፎዝ ፕላዛ ላይ አራት ኪሎ ቅድስት ስላሴ ያሉት ሱቆቻችን ሲመጡ አስተማማኝ ሰፊ ፓርኪንግ ያላቸው መሆናቸውን በታላቅ ደስታ እናበስራለን🙏🙏🙏,-1001424695758
15311,2025-01-11T16:24:00+00:00,ክቡራን ደምበኞቻችን እሁድ ገርጂ የሚገኘው ሱቃችን ከጠዋት 4 ሰሀት ጀምሮ ክፍት መሆኑን ስንገልፅ በታላቅ አክብሮት ነው 🙏,-1001424695758
15310,2025-01-11T12:53:16+00:00,,-1001424695758
15309,2025-01-11T12:53:15+00:00,,-1001424695758
15308,2025-01-11T12:53:15+00:00,,-1001424695758
15307,2025-01-11T12:53:15+00:00,"Anwangda Wireless Gaming Headset, Bluetooth 5.0 Cat Ear Headphones, Kids Headphones,LED Light Up Bluetooth Over Ear Headphones for Kids and Adults Wearing(Grey Pink),Multicolor 1700 birr 0909003864 0905707448 ሊንኩን በመጫን ቴሌግራማችንን ይቀላቀሉhttps://t.me/sinayelj እቃ ለማዘዝ ከስር ያለውን ሊንኮች በመጫን ማዘዝ ትችላላቹ @sinasinaye https://t.me/sinayelj2 አድራሻ 1️⃣ቁጥር1 ገርጂ ኢምፔሪያል ከሳሚ ህንፃ ጎን አልፎዝ ፕላዛ ግራውንድ ላይ እንደገቡ ያገኙናል 2️⃣ቁጥር2 4ኪሎ ቅድስት ስላሴ ህንፃ ማለትም ከብልፅግና ዋናፅፈት ቤት ህንፃ በስተ ቀኝ ባለው አስፓልት 20ሜትር ዝቅ እንዳሉ ሀበሻ ኮፊ የሚገኝበት ቀይ ሸክላ ህንፃ 2ተኛ ፎቅ ላይ ያገኙናል ክቡራን ደምበኞቻችን ገርጂ አልፎዝ ፕላዛ ላይ አራት ኪሎ ቅድስት ስላሴ ያሉት ሱቆቻችን ሲመጡ አስተማማኝ ሰፊ ፓርኪንግ ያላቸው መሆናቸውን በታላቅ ደስታ እናበስራለን🙏🙏🙏",-1001424695758
